"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,246,"UZB","Uzbekistan",1,"Andijon","Wiloyat","Region",NA,"Andijan|Andizhan"
2,246,"UZB","Uzbekistan",2,"Bukhoro","Wiloyat","Region",NA,"Bukhara|Buxoro|Mawarranahr|Transoxania|Turan"
3,246,"UZB","Uzbekistan",3,"Ferghana","Wiloyat","Region",NA,"Farghona|Farg`ona|Fergana"
4,246,"UZB","Uzbekistan",4,"Jizzakh","Wiloyat","Region",NA,"Dzhizak|Jizzax"
5,246,"UZB","Uzbekistan",5,"Karakalpakstan","Repuplikasi","Automonous Region",NA,"Qoraqalpog`iston autonomous republic|Kara-Kalpakia|Qoraqalpoghiston|Qoraqalpog`iston|Qoraqalpoghiston Respublikasi"
6,246,"UZB","Uzbekistan",6,"Kashkadarya","Wiloyat","Region",NA,"Kashka-Dar'ya|Kashkadar|Kashkadar'ya|Qashqadaryo"
7,246,"UZB","Uzbekistan",7,"Khorezm","Wiloyat","Region",NA,"Khiva|Khwarazm|Khorazm|Xorazm"
8,246,"UZB","Uzbekistan",8,"Namangan","Wiloyat","Region",NA,NA
9,246,"UZB","Uzbekistan",9,"Navoi","Wiloyat","Region",NA,"Navoiy|Navoiy"
10,246,"UZB","Uzbekistan",10,"Samarkand","Wiloyat","Region",NA,"Samarqand"
11,246,"UZB","Uzbekistan",11,"Sirdaryo","Wiloyat","Region",NA,"Syr-Dar'ya"
12,246,"UZB","Uzbekistan",12,"Surkhandarya","Wiloyat","Region",NA,"Sukhan-Dar'ya|Surxondaryo|Surkhan-Dar'ya"
13,246,"UZB","Uzbekistan",13,"Tashkent City","Shahar","City",NA,NA
14,246,"UZB","Uzbekistan",14,"Tashkent","Wiloyat","Region",NA,"Taschkent|Toshkent"
