"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,246,"UZB","Uzbekistan",1,"Andijon",1,"Andijon","District","District",NA,"Andijan"
2,246,"UZB","Uzbekistan",1,"Andijon",2,"Asaka","District","District",NA,NA
3,246,"UZB","Uzbekistan",1,"Andijon",3,"Baliqchi","District","District",NA,"Baliqchi"
4,246,"UZB","Uzbekistan",1,"Andijon",4,"Bo'zsuv","District","District",NA,"Boz"
5,246,"UZB","Uzbekistan",1,"Andijon",5,"Buloqboshi","District","District",NA,"Buloqboshi"
6,246,"UZB","Uzbekistan",1,"Andijon",6,"Izboskan","District","District",NA,"Izboskan"
7,246,"UZB","Uzbekistan",1,"Andijon",7,"Jalolquduq","District","District",NA,"Jalalkuduk"
8,246,"UZB","Uzbekistan",1,"Andijon",8,"Marhamat","District","District",NA,NA
9,246,"UZB","Uzbekistan",1,"Andijon",9,"Oltinko'l","District","District",NA,"Oltinkol"
10,246,"UZB","Uzbekistan",1,"Andijon",10,"Paxtaobod","District","District",NA,"Pakhtaabad"
11,246,"UZB","Uzbekistan",1,"Andijon",11,"Qo'rg'ontepa","District","District",NA,"Kurgontepa"
12,246,"UZB","Uzbekistan",1,"Andijon",12,"Shahrixon","City","City",NA,"Shakhrihon"
13,246,"UZB","Uzbekistan",1,"Andijon",13,"Ulug'nor","District","District",NA,"Ulugnor"
14,246,"UZB","Uzbekistan",1,"Andijon",14,"Xo'jaobod","District","District",NA,"Khodjaobad"
15,246,"UZB","Uzbekistan",2,"Bukhoro",15,"Buxoro","District","District",NA,"Bukhara"
16,246,"UZB","Uzbekistan",2,"Bukhoro",16,"G'ijduvon","District","District",NA,"Gijduvan"
17,246,"UZB","Uzbekistan",2,"Bukhoro",17,"Jondor","District","District",NA,NA
18,246,"UZB","Uzbekistan",2,"Bukhoro",18,"Kogon","City","City",NA,"Kagan"
19,246,"UZB","Uzbekistan",2,"Bukhoro",19,"Olot","District","District",NA,"Alat"
20,246,"UZB","Uzbekistan",2,"Bukhoro",20,"Peshku","District","District",NA,"Peshku"
21,246,"UZB","Uzbekistan",2,"Bukhoro",21,"Qorako'l","District","District",NA,"Karakul"
22,246,"UZB","Uzbekistan",2,"Bukhoro",22,"Qorovulbozor","District","District",NA,"Karaulbazar"
23,246,"UZB","Uzbekistan",2,"Bukhoro",23,"Romitan","District","District",NA,"Romitan"
24,246,"UZB","Uzbekistan",2,"Bukhoro",24,"Shofirkon","District","District",NA,"Shafirkan"
25,246,"UZB","Uzbekistan",2,"Bukhoro",25,"Vobkent","District","District",NA,"Vabkent"
26,246,"UZB","Uzbekistan",3,"Ferghana",26,"Beshariq","District","District",NA,"Beshariq"
27,246,"UZB","Uzbekistan",3,"Ferghana",27,"Bog'dod","District","District",NA,"Baghdad"
28,246,"UZB","Uzbekistan",3,"Ferghana",28,"Buvayda","District","District",NA,NA
29,246,"UZB","Uzbekistan",3,"Ferghana",29,"Dang'ara","District","District",NA,"Dangara"
30,246,"UZB","Uzbekistan",3,"Ferghana",30,"Farg'ona","District","District",NA,"Fergana"
31,246,"UZB","Uzbekistan",3,"Ferghana",31,"Furqat","District","District",NA,NA
32,246,"UZB","Uzbekistan",3,"Ferghana",32,"O'zbekiston","District","District",NA,"Uzbekistan"
33,246,"UZB","Uzbekistan",3,"Ferghana",33,"Oltiariq","District","District",NA,"Altyariq"
34,246,"UZB","Uzbekistan",3,"Ferghana",34,"Oxunboboev","District","District",NA,"Okhunboboev"
35,246,"UZB","Uzbekistan",3,"Ferghana",35,"Quva","City","City",NA,"Quva"
36,246,"UZB","Uzbekistan",3,"Ferghana",36,"Rishton","District","District",NA,NA
37,246,"UZB","Uzbekistan",3,"Ferghana",37,"So’x","District","District",NA,"Sokh"
38,246,"UZB","Uzbekistan",3,"Ferghana",38,"Toshloq","District","District",NA,"Tashlaq"
39,246,"UZB","Uzbekistan",3,"Ferghana",39,"Uchko'prik","District","District",NA,"Uchkuprik"
40,246,"UZB","Uzbekistan",3,"Ferghana",40,"Yozyovon","District","District",NA,"Yazyavan"
41,246,"UZB","Uzbekistan",4,"Jizzakh",41,"Arnasoy","District","District",NA,"Arnasay"
42,246,"UZB","Uzbekistan",4,"Jizzakh",42,"Baxmal","District","District",NA,"Bakhmal"
43,246,"UZB","Uzbekistan",4,"Jizzakh",43,"Do'stlik","District","District",NA,"Dustlik"
44,246,"UZB","Uzbekistan",4,"Jizzakh",44,"Forish","District","District",NA,NA
45,246,"UZB","Uzbekistan",4,"Jizzakh",45,"G'allaorol","District","District",NA,"Gallaorol"
46,246,"UZB","Uzbekistan",4,"Jizzakh",46,"Jizzax","District","District",NA,NA
47,246,"UZB","Uzbekistan",4,"Jizzakh",47,"Mirzacho'l","District","District",NA,"Mirzachul"
48,246,"UZB","Uzbekistan",4,"Jizzakh",48,"Paxtakor","District","District",NA,"Pakhtakor"
